# The sentences of every set scripts/policy-sentences.py has been fitted to: the print, the set, the words.
#
# A print is the sha256 of a sentence as its words: compatibility-normalised, every combining mark and
# format character taken out, case folded, look-alike letters folded, every run of letters and digits
# one word. The words are written beside it because a print alone can say whether a sentence is the
# same and never whether it is a version of one, and on 2026-09-17 one space deleted per line, every
# item numbered, a trailing clause and two sentences joined each gave a fitted set a fresh print.
# `--score` reads a line as a light rewrite of a recorded sentence by the closed list in
# policy-sentences.py above `EDITS_IN_A_LONG_SENTENCE`, the same for the seeds and the honest
# sentences held in that file, and refuses a set where more than one in ten of the sentences it marks
# to be refused are such rewrites. A line carrying the print and the set alone is a sentence whose
# words are not written here; it is matched by its print, and a version of it is not seen.
#
# Every set marked fitted in policy-sentences-fitted.txt has its sentences here and every name here is
# marked fitted there; either without the other is refused by name. A set's lines are added in the same
# act that marks it fitted: python3 scripts/policy-sentences.py --prints FILE
#
# sha256 of the sentence's words                                     fitted set              words
b690adeed5815e9f829820d84c446f8c831ebdb1cf7b6c7c95620fbaed43f0c6  blind-set-4-tests.txt  timewitness delivers nanosecond accurate timestamps on any laptop
d809e4cec5c2b4c398f19bec79eb2dcbc6324da1656ff181a89529d18a9e3ccb  blind-set-4-tests.txt  our clock is accurate to within a millisecond of utc out of the box
0de58a486a11d9349329eee80f7885c95bfd5d4c427da52cff53012141f423f7  blind-set-4-tests.txt  every stamp carries certified microsecond accuracy
e5469b9e2f5509ac2e3aa8b515ccd978ca18245a0a4acef769eb47f8512efef5  blind-set-4-tests.txt  we measured 5 to 50 ms over the public internet so your bound is never worse than that
ddb272796d9f941793a122c5f11c9248c331da4c0236fcb1ace6561095078295  blind-set-4-tests.txt  on a good lan our agent holds about 1 ms against a stratum 1 source
3144378970535d4cae12a436bb54304efbc39ec01f3f83d89c19d637a36d5f09  blind-set-4-tests.txt  about 100 microseconds on a cloud instance is what timewitness reaches with a hypervisor clock
c5642a0abdced5575f57e6e61f8c9c005fa190a59ccf2b989db21d6d08a57999  blind-set-4-tests.txt  the agent settles at 26 6 ms at synchronisation and 234 6 ms after fifteen minutes on real networks
b755021c906db854fde98f226e32f866a1e1db2ef19f8da10fbea3d6ba1dc500  blind-set-4-tests.txt  a machine that can only reach the three public roughtime servers still gets a bound seconds wide but valid
4f76152332c8a10a23364fd2d3bbac31acc77b8000487940e522602184b17a1f  blind-set-4-tests.txt  accuracy is the whole product we tell you the time correctly to the nanosecond
fd2427804bf128b7fee2b13ba7a81f9e45993964dfb9a3b987f8f8fb8233bdbc  blind-set-4-tests.txt  precision to the nanosecond and accuracy to the nanosecond are both ours
99646369d0f4174bdbcfa1c32b4861dce80700799be6ec736037a7fe5c51792f  blind-set-4-tests.txt  our bound was 149 8 ms on the receipt we ship as a fixture
dcd2de8fb6c7ac03d4e8786321172c9ee0988ce4c9f8023d89d293945f20e4b9  blind-set-4-tests.txt  roughtime is an rfc so the corridor is standards backed
c6f19f1c5ede2360c1cee177ded5078b5ecf90d7f2179e85fa8ccf7d9b8185ce  blind-set-4-tests.txt  your machine stops lying about the time the moment the agent is installed
9831da2b2f6ab4a83b00db394039e78497a8d9f948be5b44e897643453f32c05  blind-set-4-tests.txt  the stamp is as accurate as the atomic clock behind it
5f48f740621ff3d9a59f60d56d420fd48d25cdd4c93bdb22457723a1cd6f4005  blind-set-4-tests.txt  sixteen polling rounds gets you under a hundred milliseconds of error
08e3f2f21b96dae7f85599c0d59325fabbf5df8667788741d3c6925d75736b30  blind-set-4-tests.txt  our agent s bound is third party evidence a court can rely on
be90783582ef7603d31617bf385158d214489337106b4a37d30874d5e27936c3  blind-set-4-tests.txt  nts gives you portable proof that anyone can verify
a3d8c27cea8b18580ab86a1f43ff949e004443cb924056949592985569faa4b5  blind-set-4-tests.txt  the bound in the receipt is signed by an independent witness
61777cdfa29f47be465654a0acc4146cd67a3237398242c6b1a57cd786a05ad4  blind-set-4-tests.txt  because our agent signs the interval the interval is independently attested
79aaef591ca0433ebf61326f37b1ad2d0f2c1735749505a729329bbbc50865e4  blind-set-4-tests.txt  nts is the strongest evidence carried in the receipt
c118afa8ff8c10a68808c183cc5a58a22f0fdc76e00e1f177aab1b4c1c16ba6e  blind-set-4-tests.txt  a roughtime signature and our own bound are the same kind of proof
c8f85d442462a2791671a846ce07f5cf924dbcd5a2af41bdcb08636a3c6bf130  blind-set-4-tests.txt  the freshness beacon proves the stamp was not made later than it says
ea8b0af50e34a80240381658ff24ccf24accf9183fe72ffb271c8ac9fb46047e  blind-set-4-tests.txt  an rfc 3161 authority in the receipt proves the event was not earlier than the stamp
3e6db65379725b59ecdb5919bdf033f8a38bb6127a2c26567aa583cfd59770aa  blind-set-4-tests.txt  we are not a notary we are the independent witness standing behind your own bound
ed1120f2d0de8bdb711e9ae8afa1023e7674d09c9736f98481881e984f09c2e5  blind-set-4-tests.txt  the symmetric key in nts is what makes the receipt portable
d52947ea6ba672a6eb506dc89f7026fd6bb60919b94a25cdd240cc846171c27e  blind-set-4-tests.txt  timewitness blocks any build whose clock has drifted out of bounds
15b1be2b7a885751d9824deae44134011a920352d823a23d95e927a941f5f239  blind-set-4-tests.txt  a refusal receipt stops the release from shipping
f28d69d07e6fddf0f09f791600807b8bb12c69cae6fcf8136794b68cecfc908d  blind-set-4-tests.txt  the agent prevents a tampered clock from being used
73e9f9560f6c9cd64579804ab78021751b070e82cfc2534029393be8d09eee22  blind-set-4-tests.txt  rollback is caught and halted before it can do any damage
8e6800168190ed6eef5563f8b6782693b64c9a32a693b0c910a8cb402260e30c  blind-set-4-tests.txt  install the agent and backdating becomes impossible
12d920b5b4e731cd7e23831d63e443e29e73705d775814fa3b3432051fb724d0  blind-set-4-tests.txt  the gate refuses to let the pipeline continue when the bound is too wide
e1dffe7c8d9dfdba01d9426eff2ce5dfc37a61f40bd183784b24382446b4d480  blind-set-4-tests.txt  this is not a monitoring tool it is enforcement that stops a backdated build from shipping
ddb4b57f3f5239084d515c8beafb1101b89d280c0e8457e97dfdb59de47118ed  blind-set-4-tests.txt  timewitness will not permit a signature outside the corridor
1690e6c9d1dda998007222f8ba7c1e2dffc2512cc50720e47ee795929d0f7815  blind-set-4-tests.txt  we average the four to six sources to get the true time
b3a0ce748c88fc84df584c2fa1025efcacd789d21a63fb8823c539cde3f49f95  blind-set-4-tests.txt  the mean of the readings is the clock s best estimate of now
